TotalDrinkUnitSales;TotalDrinkSales;TotalFoodSales;TotalFoodUnitSales;TotalNonConUnitSales;TotalNonConSales;customer_id;marital_status;yearly_income;gender;total_children;num_children_at_home;education;member_card;occupation;houseowner;num_cars_owned
0;0;0;0;0;0;1;M;$30K - $50K;F;4;2;Partial High School;Bronze;Skilled Manual;Y;4
0;0;0;0;0;0;2;S;$70K - $90K;M;1;0;Partial High School;Bronze;Professional;N;3
7;15;124;53;29;64;3;M;$50K - $70K;F;1;1;Bachelors Degree;Bronze;Professional;Y;2
0;0;0;0;0;0;4;M;$10K - $30K;M;4;4;Partial High School;Normal;Skilled Manual;N;2
0;0;1;2;0;0;5;S;$30K - $50K;F;3;0;Partial College;Silver;Manual;N;3
8;18;84;32;3;11;6;S;$70K - $90K;F;3;0;Bachelors Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;7;M;$30K - $50K;F;2;1;Partial High School;Bronze;Manual;Y;3
3;10;196;90;29;52;8;M;$50K - $70K;M;2;2;Bachelors Degree;Bronze;Professional;Y;3
9;25;53;24;6;11;9;M;$10K - $30K;M;5;3;Partial High School;Normal;Skilled Manual;Y;1
18;30;90;43;26;43;10;S;$30K - $50K;M;4;0;Bachelors Degree;Golden;Management;N;4
4;3;41;19;0;0;11;S;$50K - $70K;M;4;0;High School Degree;Bronze;Manual;N;2
0;0;0;0;0;0;12;S;$30K - $50K;F;1;0;High School Degree;Bronze;Skilled Manual;N;3
0;0;0;0;0;0;13;S;$30K - $50K;M;4;0;High School Degree;Bronze;Manual;N;4
0;0;27;18;13;22;14;M;$50K - $70K;F;2;2;Bachelors Degree;Bronze;Management;Y;2
0;0;0;0;0;0;15;S;$90K - $110K;M;3;0;Graduate Degree;Bronze;Professional;Y;3
0;0;0;0;0;0;16;M;$50K - $70K;F;2;2;High School Degree;Bronze;Skilled Manual;Y;2
0;0;43;20;7;8;17;S;$90K - $110K;M;3;0;High School Degree;Bronze;Management;Y;3
4;2;24;14;0;0;18;M;$30K - $50K;M;3;2;Partial College;Bronze;Professional;Y;4
1;1;13;7;0;0;19;S;$70K - $90K;F;1;0;High School Degree;Bronze;Professional;N;1
5;12;212;93;14;27;20;S;$10K - $30K;F;2;0;Partial High School;Normal;Manual;Y;2
6;11;99;47;13;23;21;S;$30K - $50K;M;1;0;High School Degree;Normal;Manual;Y;2
